TICKER,OFTIC,MEASURE,VALUE,ANNDATS,ACTUAL
AMZN,AMZN,SAL,86650,2019-10-25,87437
AMZN,AMZN,SAL,85000,2019-10-25,87437
AMZN,AMZN,SAL,86620.3,2019-10-25,87437
AMZN,AMZN,SAL,86389,2019-10-25,87437
AMZN,AMZN,SAL,85713,2019-10-25,87437
AMZN,AMZN,SAL,86103,2019-10-25,87437
AMZN,AMZN,SAL,86299.06,2019-10-25,87437
AMZN,AMZN,SAL,86613,2019-10-25,87437
AMZN,AMZN,SAL,86023,2019-10-25,87437
AMZN,AMZN,SAL,86450.36,2019-10-25,87437
AMZN,AMZN,SAL,85674.433,2019-10-25,87437
AMZN,AMZN,SAL,85989,2019-10-25,87437
AMZN,AMZN,SAL,86396.3,2019-10-25,87437
AMZN,AMZN,SAL,84994,2019-10-25,87437
AMZN,AMZN,SAL,85746,2019-10-25,87437
AMZN,AMZN,SAL,86414.17,2019-10-25,87437
AMZN,AMZN,SAL,86268.96,2019-10-25,87437
AMZN,AMZN,SAL,86611,2019-10-25,87437
AMZN,AMZN,SAL,86489,2019-10-25,87437
AMZN,AMZN,SAL,83199.205,2019-10-25,87437
AMZN,AMZN,SAL,86972,2019-10-25,87437
AMZN,AMZN,SAL,84587,2019-10-25,87437
AMZN,AMZN,SAL,86390,2019-10-25,87437
AMZN,AMZN,SAL,85707.9,2019-10-25,87437
AMZN,AMZN,SAL,86279,2019-11-26,87437
AMZN,AMZN,SAL,86797.085,2019-11-26,87437
AMZN,AMZN,SAL,86550.2,2019-11-26,87437
AMZN,AMZN,SAL,85100,2019-12-06,87437
AMZN,AMZN,SAL,85784,2020-01-09,87437
AMZN,AMZN,SAL,85853,2020-01-14,87437
AMZN,AMZN,SAL,85463,2020-01-22,87437
AMZN,AMZN,SAL,86543,2020-01-23,87437
AMZN,AMZN,SAL,85102.59,2020-01-26,87437
AMZN,AMZN,SAL,85561,2020-01-26,87437
AMZN,AMZN,SAL,86245,2020-01-27,87437
AMZN,AMZN,SAL,87812,2020-01-28,87437
AMZN,AMZN,SAL,86836.482,2020-01-28,87437
AMZN,AMZN,SAL,85922.108,2020-01-28,87437
AMZN,AMZN,SAL,86597,2020-01-29,87437
AMZN,AMZN,SAL,86346,2019-08-01,87437
AMZN,AMZN,SAL,87286,2019-09-05,87437
AMZN,AMZN,SAL,94025,2019-09-18,87437
AMZN,AMZN,SAL,88701,2019-10-08,87437
AMZN,AMZN,SAL,86778,2019-10-11,87437
AMZN,AMZN,SAL,88658.074,2019-10-15,87437
AMZN,AMZN,SAL,86555.507,2019-10-16,87437
AMZN,AMZN,SAL,86149,2019-10-16,87437
AMZN,AMZN,SAL,88106,2019-10-22,87437
AMZN,AMZN,SAL,86879,2019-10-23,87437
AMZN,AMZN,SAL,72276,2020-01-30,75452
AMZN,AMZN,SAL,72800,2020-01-30,75452
