TICKER,OFTIC,ANALYS,FPI,MEASURE,VALUE,FPEDATS,ANNDATS,ACTUAL,ANNDATS_ACT
BABA,BABA,80523,7,EPS,16.48,2019/12/31,2019/8/15,18.19,2020/2/13
BABA,BABA,189183,7,EPS,15.75,2019/12/31,2019/8/16,18.19,2020/2/13
BABA,BABA,190038,7,EPS,15.9,2019/12/31,2019/8/16,18.19,2020/2/13
BABA,BABA,129984,7,EPS,16.9488,2019/12/31,2019/8/16,18.19,2020/2/13
BABA,BABA,111135,7,EPS,15.64,2019/12/31,2019/8/16,18.19,2020/2/13
BABA,BABA,125796,7,EPS,16.08,2019/12/31,2019/8/16,18.19,2020/2/13
BABA,BABA,162926,7,EPS,15.2,2019/12/31,2019/8/19,18.19,2020/2/13
BABA,BABA,160294,7,EPS,16.29,2019/12/31,2019/8/19,18.19,2020/2/13
BABA,BABA,135458,7,EPS,15.95,2019/12/31,2019/8/21,18.19,2020/2/13
BABA,BABA,188472,7,EPS,17.31,2019/12/31,2019/8/29,18.19,2020/2/13
BABA,BABA,73430,7,EPS,16.65,2019/12/31,2019/9/10,18.19,2020/2/13
BABA,BABA,111204,7,EPS,15.55,2019/12/31,2019/10/9,18.19,2020/2/13
BABA,BABA,103370,7,EPS,11.84,2019/12/31,2019/10/11,18.19,2020/2/13
BABA,BABA,135458,7,EPS,15.81,2019/12/31,2019/10/14,18.19,2020/2/13
BABA,BABA,184603,7,EPS,16.39,2019/12/31,2019/10/15,18.19,2020/2/13
BABA,BABA,80183,7,EPS,15.14,2019/12/31,2019/10/16,18.19,2020/2/13
BABA,BABA,160294,7,EPS,16.3,2019/12/31,2019/10/16,18.19,2020/2/13
BABA,BABA,162926,7,EPS,14.72,2019/12/31,2019/10/20,18.19,2020/2/13
BABA,BABA,190038,7,EPS,16.1,2019/12/31,2019/10/22,18.19,2020/2/13
BABA,BABA,71165,7,EPS,17.66,2019/12/31,2019/10/22,18.19,2020/2/13
BABA,BABA,79294,7,EPS,16.38,2019/12/31,2019/10/25,18.19,2020/2/13
BABA,BABA,22953,7,EPS,15.33,2019/12/31,2019/10/29,18.19,2020/2/13
BABA,BABA,160294,8,EPS,14.4,2019/12/31,2019/8/5,18.19,2020/2/13
BABA,BABA,79294,8,EPS,16.86,2019/12/31,2019/8/9,18.19,2020/2/13
BABA,BABA,111204,8,EPS,14.13,2019/12/31,2019/8/12,18.19,2020/2/13
BABA,BABA,87229,6,EPS,8.74,2020/3/31,2020/2/13,9.2,2020/5/22
BABA,BABA,106993,6,EPS,7.31,2020/3/31,2020/2/13,9.2,2020/5/22
BABA,BABA,130431,6,EPS,6.877,2020/3/31,2020/2/13,9.2,2020/5/22
BABA,BABA,71165,6,EPS,6.72,2020/3/31,2020/2/13,9.2,2020/5/22
BABA,BABA,80523,6,EPS,6.19,2020/3/31,2020/2/13,9.2,2020/5/22
BABA,BABA,159605,6,EPS,6.33,2020/3/31,2020/2/13,9.2,2020/5/22
BABA,BABA,135458,6,EPS,4.378,2020/3/31,2020/2/13,9.2,2020/5/22
BABA,BABA,79306,6,EPS,5.5,2020/3/31,2020/2/13,9.2,2020/5/22
BABA,BABA,80183,6,EPS,9.19,2020/3/31,2020/2/13,9.2,2020/5/22
