TICKER,OFTIC,CNAME,MEASURE,VALUE,ANNDATS,ANNTIMS,ACTUAL,ANNDATS_ACT,ANNTIMS_ACT
BABA,BABA,ALIBABA,GRM,46.8,2019-08-29,16:36:00,46.04,2020-05-22,7:09:00
BABA,BABA,ALIBABA,GRM,46.3,2019-09-19,14:31:00,46.04,2020-05-22,7:09:00
BABA,BABA,ALIBABA,GRM,44,2019-09-25,9:58:00,46.04,2020-05-22,7:09:00
BABA,BABA,ALIBABA,GRM,45.1,2019-10-14,16:09:00,46.04,2020-05-22,7:09:00
BABA,BABA,ALIBABA,GRM,44.6,2019-10-14,5:31:00,46.04,2020-05-22,7:09:00
BABA,BABA,ALIBABA,GRM,45.5,2019-10-15,23:06:00,46.04,2020-05-22,7:09:00
BABA,BABA,ALIBABA,GRM,45.3,2019-10-16,22:00:00,46.04,2020-05-22,7:09:00
BABA,BABA,ALIBABA,GRM,43.3,2019-10-16,23:25:00,46.04,2020-05-22,7:09:00
BABA,BABA,ALIBABA,GRM,45.79,2019-10-22,8:26:00,46.04,2020-05-22,7:09:00
BABA,BABA,ALIBABA,GRM,47.8,2019-10-22,1:56:00,46.04,2020-05-22,7:09:00
BABA,BABA,ALIBABA,GRM,43.9,2019-10-22,14:52:00,46.04,2020-05-22,7:09:00
BABA,BABA,ALIBABA,GRM,44.9,2019-10-25,5:00:00,46.04,2020-05-22,7:09:00
BABA,BABA,ALIBABA,GRM,46.9,2019-10-28,3:33:00,46.04,2020-05-22,7:09:00
BABA,BABA,ALIBABA,GRM,45.1,2019-11-01,11:58:00,46.04,2020-05-22,7:09:00
BABA,BABA,ALIBABA,GRM,46.5,2019-11-01,18:46:00,46.04,2020-05-22,7:09:00
BABA,BABA,ALIBABA,GRM,45.5,2019-11-01,14:40:00,46.04,2020-05-22,7:09:00
BABA,BABA,ALIBABA,GRM,45.2,2019-11-01,14:34:00,46.04,2020-05-22,7:09:00
BABA,BABA,ALIBABA,GRM,44.4,2019-11-01,17:12:00,46.04,2020-05-22,7:09:00
BABA,BABA,ALIBABA,GRM,46,2019-11-01,20:07:00,46.04,2020-05-22,7:09:00
BABA,BABA,ALIBABA,GRM,46.3,2019-11-02,21:49:00,46.04,2020-05-22,7:09:00
BABA,BABA,ALIBABA,GRM,44.3,2019-11-03,3:07:00,46.04,2020-05-22,7:09:00
BABA,BABA,ALIBABA,GRM,43.6,2019-11-03,20:29:00,46.04,2020-05-22,7:09:00
BABA,BABA,ALIBABA,GRM,47,2019-11-03,19:39:00,46.04,2020-05-22,7:09:00
BABA,BABA,ALIBABA,GRM,46,2019-11-03,15:34:00,46.04,2020-05-22,7:09:00
BABA,BABA,ALIBABA,GRM,44.8,2019-11-01,6:04:00,46.04,2020-05-22,7:09:00
BABA,BABA,ALIBABA,GRM,47,2019-11-03,21:39:00,46.04,2020-05-22,7:09:00
BABA,BABA,ALIBABA,GRM,47.1,2019-11-03,21:25:00,46.04,2020-05-22,7:09:00
BABA,BABA,ALIBABA,GRM,45.86,2019-11-04,7:05:00,46.04,2020-05-22,7:09:00
BABA,BABA,ALIBABA,GRM,45.4,2019-11-04,6:21:00,46.04,2020-05-22,7:09:00
BABA,BABA,ALIBABA,GRM,46.6,2019-11-04,6:15:00,46.04,2020-05-22,7:09:00
BABA,BABA,ALIBABA,GRM,44.6,2019-11-04,0:09:00,46.04,2020-05-22,7:09:00
