TICKER,OFTIC,MEASURE,VALUE,ANNDATS,ACTUAL
AMZN,AMZN,GRM,39,2020-05-01,40.82
AMZN,AMZN,GRM,41,2020-05-01,40.82
AMZN,AMZN,GRM,39,2020-05-01,40.82
AMZN,AMZN,GRM,40.8,2020-05-01,40.82
AMZN,AMZN,GRM,40.8,2020-05-01,40.82
AMZN,AMZN,GRM,41,2020-05-01,40.82
AMZN,AMZN,GRM,41.12,2020-05-05,40.82
AMZN,AMZN,GRM,40.7,2020-05-05,40.82
AMZN,AMZN,GRM,39,2020-06-10,40.82
AMZN,AMZN,GRM,44.69,2020-06-17,40.82
AMZN,AMZN,GRM,41,2020-06-25,40.82
AMZN,AMZN,GRM,40.3,2020-06-29,40.82
AMZN,AMZN,GRM,37.8,2020-07-13,40.82
AMZN,AMZN,GRM,40.1,2020-07-19,40.82
AMZN,AMZN,GRM,40.1,2020-07-20,40.82
AMZN,AMZN,GRM,40.3,2020-07-26,40.82
AMZN,AMZN,GRM,37.9,2020-07-27,40.82
AMZN,AMZN,GRM,40.8,2020-07-27,40.82
AMZN,AMZN,GRM,45,2020-01-30,40.82
AMZN,AMZN,GRM,42.3,2020-01-30,40.82
AMZN,AMZN,GRM,45.3,2020-01-30,40.82
AMZN,AMZN,GRM,40.8,2020-01-30,40.82
AMZN,AMZN,GRM,43.9,2020-01-30,40.82
AMZN,AMZN,GRM,44.12,2020-01-30,40.82
AMZN,AMZN,GRM,43.3,2020-01-30,40.82
AMZN,AMZN,GRM,42.2,2020-01-31,40.82
AMZN,AMZN,GRM,43.8,2020-01-31,40.82
AMZN,AMZN,GRM,42.6,2020-01-31,40.82
AMZN,AMZN,GRM,43.1,2020-01-31,40.82
AMZN,AMZN,GRM,43.1,2020-01-31,40.82
AMZN,AMZN,GRM,43.2,2020-01-31,40.82
AMZN,AMZN,GRM,43.2,2020-01-31,40.82
AMZN,AMZN,GRM,43.5,2020-01-31,40.82
AMZN,AMZN,GRM,44,2020-01-31,40.82
AMZN,AMZN,GRM,44.3,2020-01-31,40.82
