TICKER,OFTIC,ANALYS,FPI,MEASURE,VALUE,FPEDATS,ANNDATS,ACTUAL,ANNDATS_ACT
WMT,WMT,113415,8,EPS,0.3833,2020/4/30,2019/8/15,0.3933,2020/5/19
WMT,WMT,59339,8,EPS,0.3953,2020/4/30,2019/8/15,0.3933,2020/5/19
WMT,WMT,107677,8,EPS,0.3833,2020/4/30,2019/8/15,0.3933,2020/5/19
WMT,WMT,7891,8,EPS,0.3833,2020/4/30,2019/8/15,0.3933,2020/5/19
WMT,WMT,30177,8,EPS,0.39,2020/4/30,2019/8/16,0.3933,2020/5/19
WMT,WMT,183603,8,EPS,0.39,2020/4/30,2019/8/16,0.3933,2020/5/19
WMT,WMT,82287,8,EPS,0.3967,2020/4/30,2019/11/7,0.3933,2020/5/19
WMT,WMT,113156,8,EPS,0.3767,2020/4/30,2019/11/8,0.3933,2020/5/19
WMT,WMT,7891,6,EPS,0.4533,2020/7/31,2020/5/19,0.52,2020/8/18
WMT,WMT,107677,6,EPS,0.4133,2020/7/31,2020/5/19,0.52,2020/8/18
WMT,WMT,143894,6,EPS,0.3967,2020/7/31,2020/5/19,0.52,2020/8/18
WMT,WMT,75676,6,EPS,0.41,2020/7/31,2020/5/19,0.52,2020/8/18
WMT,WMT,119883,6,EPS,0.4333,2020/7/31,2020/5/19,0.52,2020/8/18
WMT,WMT,48177,6,EPS,0.42,2020/7/31,2020/5/19,0.52,2020/8/18
WMT,WMT,127023,6,EPS,0.4,2020/7/31,2020/5/19,0.52,2020/8/18
WMT,WMT,82287,6,EPS,0.4167,2020/7/31,2020/5/19,0.52,2020/8/18
WMT,WMT,113415,6,EPS,0.38,2020/7/31,2020/5/19,0.52,2020/8/18
WMT,WMT,122956,6,EPS,0.3567,2020/7/31,2020/5/19,0.52,2020/8/18
WMT,WMT,108441,6,EPS,0.4333,2020/7/31,2020/5/19,0.52,2020/8/18
WMT,WMT,186954,6,EPS,0.3867,2020/7/31,2020/5/19,0.52,2020/8/18
WMT,WMT,80702,6,EPS,0.4333,2020/7/31,2020/5/19,0.52,2020/8/18
WMT,WMT,120210,6,EPS,0.4033,2020/7/31,2020/5/19,0.52,2020/8/18
WMT,WMT,160532,6,EPS,0.38,2020/7/31,2020/5/19,0.52,2020/8/18
WMT,WMT,56168,6,EPS,0.4133,2020/7/31,2020/5/20,0.52,2020/8/18
WMT,WMT,113156,6,EPS,0.4667,2020/7/31,2020/5/20,0.52,2020/8/18
